mode,params_json,num_episodes,num_rows,mean_l2_drift_mean,mean_l2_drift_max,p90_l2_drift_mean,normalized_mean_l2_drift_mean,smoothness_degradation_mean,smoothness_degradation_max,stale_observation_severity_mean,chunk_boundary_discontinuity_mean,chunk_boundary_discontinuity_max,recovery_delay_proxy_mean,longest_bad_run_proxy_mean,inferred_call_fraction_proxy_mean,compute_saving_proxy_mean,latency_proxy_ms_mean,quality_score_proxy_mean,risk_score_proxy
action_horizon_mismatch,"{""actual_horizon"": 8, ""expected_horizon"": 4}",4,4,138.2900505065918,178.689208984375,208.3998680114746,0.3776626178260376,-4.519167184829712,-3.354490280151367,0.878258547008547,30.342384754800907,70.03570556640625,127.0,119.75,0.125,0.875,2.5,0.727326073641731,2.5562635495893855
action_chunk_reuse,"{""chunk_size"": 16}",4,4,52.19618797302246,59.75495910644531,110.11762809753418,0.14222496684467,-1.8702375888824463,-1.647923469543457,0.941395757020757,108.40792026519776,254.48968505859375,126.75,14.0,0.0625,0.9375,1.25,0.8755695812996421,2.459528644130625
reduced_inference_frequency,"{""frequency_divisor"": 16}",4,4,52.19618797302246,59.75495910644531,110.11762809753418,0.14222496684467,-1.8702375888824463,-1.647923469543457,0.941395757020757,108.40792026519776,254.48968505859375,126.75,14.0,0.0625,0.9375,1.25,0.8755695812996421,2.459528644130625
action_horizon_mismatch,"{""actual_horizon"": 2, ""expected_horizon"": 8}",4,4,114.33851051330566,125.24919891357422,196.96206283569336,0.31727775812648396,-0.7571253776550293,-0.5845670700073242,0.8715888278388279,15.007791032304873,148.94630432128906,121.0,120.0,0.5,0.5,10.0,0.7600021026076905,2.4138743769976165
action_horizon_mismatch,"{""actual_horizon"": 4, ""expected_horizon"": 8}",4,4,108.8925838470459,127.45067596435547,183.4902687072754,0.29848099953641305,-0.7571253776550293,-0.5845670700073242,0.8715888278388279,30.203229689540695,148.94630432128906,121.0,114.0,0.25,0.75,5.0,0.7706051051341604,2.4102730570647815
action_horizon_mismatch,"{""actual_horizon"": 4, ""expected_horizon"": 2}",4,4,134.7658176422119,175.32371520996094,201.75228881835938,0.3675518370284916,-4.414493918418884,-3.245357036590576,0.7525946275946276,15.380782730266805,39.81205749511719,127.0,119.5,0.25,0.75,5.0,0.7327064311953839,2.405527247353386
action_horizon_mismatch,"{""actual_horizon"": 2, ""expected_horizon"": 4}",4,4,111.02303314208984,130.23980712890625,184.77161026000977,0.30418944682555615,-0.30653178691864014,-0.23198366165161133,0.7531955891330891,15.911968493105189,110.11357879638672,121.0,102.0,0.5,0.5,10.0,0.7672453179051835,2.2832970044517507
action_chunk_reuse,"{""chunk_size"": 8}",4,4,26.72701120376587,32.60305404663086,57.05179500579834,0.07285395626150111,-0.8738781213760376,-0.6663212776184082,0.878258547008547,60.39020641156514,148.94630432128906,123.75,6.5,0.125,0.875,2.5,0.9321449799552748,2.2490027096816134
frame_skip,"{""skip"": 8}",4,4,26.72701120376587,32.60305404663086,57.05179500579834,0.07285395626150111,-0.8738781213760376,-0.6663212776184082,0.878258547008547,60.39020641156514,148.94630432128906,123.75,6.5,0.125,0.875,2.5,0.9321449799552748,2.2490027096816134
reduced_inference_frequency,"{""frequency_divisor"": 8}",4,4,26.72701120376587,32.60305404663086,57.05179500579834,0.07285395626150111,-0.8738781213760376,-0.6663212776184082,0.878258547008547,60.39020641156514,148.94630432128906,123.75,6.5,0.125,0.875,2.5,0.9321449799552748,2.2490027096816134
action_chunk_reuse,"{""chunk_size"": 4}",4,4,11.939557790756226,14.172884941101074,28.041900157928467,0.03264722833116485,-0.34499311447143555,-0.23198270797729492,0.7559428418803419,31.857468205037748,110.11357879638672,119.0,3.0,0.25,0.75,5.0,0.9683947676856178,2.0104475384165448
frame_skip,"{""skip"": 4}",4,4,11.939557790756226,14.172884941101074,28.041900157928467,0.03264722833116485,-0.34499311447143555,-0.23198270797729492,0.7559428418803419,31.857468205037748,110.11357879638672,119.0,3.0,0.25,0.75,5.0,0.9683947676856178,2.0104475384165448
reduced_inference_frequency,"{""frequency_divisor"": 4}",4,4,11.939557790756226,14.172884941101074,28.041900157928467,0.03264722833116485,-0.34499311447143555,-0.23198270797729492,0.7559428418803419,31.857468205037748,110.11357879638672,119.0,3.0,0.25,0.75,5.0,0.9683947676856178,2.0104475384165448
observation_delay,"{""delay_steps"": 8}",4,4,58.20287322998047,68.1673583984375,103.78423118591309,0.15892687405157668,-0.3442072868347168,-0.11408138275146484,0.10849358974358975,0.0,0.0,126.5,88.0,1.0,0.0,20.0,0.8630100315262739,1.5324204637951664
action_chunk_reuse,"{""chunk_size"": 2}",4,4,4.097466766834259,4.873819828033447,11.749078512191772,0.011184132580983747,-0.10100042819976807,-0.05893230438232422,0.5128376831501831,16.325094815099753,69.83551788330078,94.0,1.0,0.5,0.5,10.0,0.9889406968058801,1.4803469105462665
frame_skip,"{""skip"": 2}",4,4,4.097466766834259,4.873819828033447,11.749078512191772,0.011184132580983747,-0.10100042819976807,-0.05893230438232422,0.5128376831501831,16.325094815099753,69.83551788330078,94.0,1.0,0.5,0.5,10.0,0.9889406968058801,1.4803469105462665
reduced_inference_frequency,"{""frequency_divisor"": 2}",4,4,4.097466766834259,4.873819828033447,11.749078512191772,0.011184132580983747,-0.10100042819976807,-0.05893230438232422,0.5128376831501831,16.325094815099753,69.83551788330078,94.0,1.0,0.5,0.5,10.0,0.9889406968058801,1.4803469105462665
observation_delay,"{""delay_steps"": 4}",4,4,31.294958114624023,36.69933319091797,56.30614471435547,0.08558398188084083,-0.12015640735626221,-0.07556724548339844,0.07712721306471307,0.0,0.0,121.75,36.5,1.0,0.0,20.0,0.9212147057665337,1.380211194945554
stale_observation,"{""stale_every"": 3}",4,4,2.682285785675049,3.0151660442352295,9.275680422782898,0.007345438069102914,-0.058472394943237305,-0.04451465606689453,0.3555479242979243,0.0,0.0,93.75,1.0,0.6666666666666667,0.33333333333333326,13.333333333333336,0.992708426184965,1.3003933623670272
observation_delay,"{""delay_steps"": 2}",4,4,16.109935522079468,18.76244354248047,30.333560943603516,0.04407971612545866,-0.05125844478607178,-0.008546829223632812,0.060662774725274725,0.0,0.0,116.75,16.5,1.0,0.0,20.0,0.9577955037532202,1.2722424908507335
temporal_jitter,"{""max_jitter_steps"": 4}",4,4,17.316655158996582,20.36776351928711,40.19803333282471,0.04772049321429063,11.508398294448853,13.222746849060059,0.045966880341880345,0.0,0.0,117.75,6.75,1.0,0.0,20.0,0.9544840012298925,1.2711873735561712
temporal_jitter,"{""max_jitter_steps"": 2}",4,4,9.972865343093872,11.04244613647461,22.70388650894165,0.027308186112109445,9.764825820922852,10.877219200134277,0.029597832722832722,0.0,0.0,110.25,4.0,1.0,0.0,20.0,0.9734209862085986,1.1594060188349422
stale_observation,"{""stale_every"": 5}",4,4,1.6112484335899353,1.851531982421875,6.3309794664382935,0.004420698352497447,-0.04367256164550781,-0.028382301330566406,0.23360996642246643,0.0,0.0,90.0,1.0,0.8,0.19999999999999996,16.0,0.995598924880265,1.1380306647749638
observation_delay,"{""delay_steps"": 1}",4,4,8.151242852210999,9.45701789855957,15.589478254318237,0.022311199276741456,-0.023603081703186035,0.0,0.05243055555555556,0.0,0.0,94.0,5.25,1.0,0.0,20.0,0.978179493371233,1.014741754832297
temporal_jitter,"{""max_jitter_steps"": 1}",4,4,5.364571452140808,6.030331134796143,14.166447162628174,0.014690875937193554,5.293452262878418,5.971783638000488,0.020217109279609277,0.0,0.0,93.75,2.0,1.0,0.0,20.0,0.9855230043822332,0.9724079852168028
stale_observation,"{""stale_every"": 10}",4,4,0.7903867959976196,1.0341031551361084,0.0,0.0021371171705355787,-0.02909374237060547,-0.009023666381835938,0.14029113247863248,0.0,0.0,37.5,0.5,0.9,0.09999999999999998,18.0,0.9978675587313154,0.517428249649168
