group,source_path,release_path,relative_release_path,size_bytes,exists
reports,/kaggle/working/RoboTrace/reports/robotrace_report.md,/kaggle/working/RoboTrace/hf_release/artifacts/reports/robotrace_report.md,artifacts/reports/robotrace_report.md,35710,True
reports,/kaggle/working/RoboTrace/reports/robotrace_public_summary.md,/kaggle/working/RoboTrace/hf_release/artifacts/reports/robotrace_public_summary.md,artifacts/reports/robotrace_public_summary.md,774,True
reports,/kaggle/working/RoboTrace/reports/limitations.md,/kaggle/working/RoboTrace/hf_release/artifacts/reports/limitations.md,artifacts/reports/limitations.md,1290,True
reports,/kaggle/working/RoboTrace/reports/reproducibility.md,/kaggle/working/RoboTrace/hf_release/artifacts/reports/reproducibility.md,artifacts/reports/reproducibility.md,1009,True
reports,/kaggle/working/RoboTrace/reports/failure_taxonomy.md,/kaggle/working/RoboTrace/hf_release/artifacts/reports/failure_taxonomy.md,artifacts/reports/failure_taxonomy.md,1056,True
reports,/kaggle/working/RoboTrace/reports/robotrace_report.html,/kaggle/working/RoboTrace/hf_release/artifacts/reports/robotrace_report.html,artifacts/reports/robotrace_report.html,38845,True
summaries,/kaggle/working/RoboTrace/results/summaries/robotrace_final_summary.json,/kaggle/working/RoboTrace/hf_release/artifacts/summaries/robotrace_final_summary.json,artifacts/summaries/robotrace_final_summary.json,2892,True
summaries,/kaggle/working/RoboTrace/results/summaries/robotrace_final_metrics.csv,/kaggle/working/RoboTrace/hf_release/artifacts/summaries/robotrace_final_metrics.csv,artifacts/summaries/robotrace_final_metrics.csv,3153,True
summaries,/kaggle/working/RoboTrace/results/summaries/robotrace_evidence_index.csv,/kaggle/working/RoboTrace/hf_release/artifacts/summaries/robotrace_evidence_index.csv,artifacts/summaries/robotrace_evidence_index.csv,7808,True
summaries,/kaggle/working/RoboTrace/results/summaries/robotrace_evidence_index.json,/kaggle/working/RoboTrace/hf_release/artifacts/summaries/robotrace_evidence_index.json,artifacts/summaries/robotrace_evidence_index.json,13594,True
summaries,/kaggle/working/RoboTrace/results/summaries/robotrace_missing_evidence_manifest.json,/kaggle/working/RoboTrace/hf_release/artifacts/summaries/robotrace_missing_evidence_manifest.json,artifacts/summaries/robotrace_missing_evidence_manifest.json,545,True
summaries,/kaggle/working/RoboTrace/results/summaries/stage3_dataset_summary.json,/kaggle/working/RoboTrace/hf_release/artifacts/summaries/stage3_dataset_summary.json,artifacts/summaries/stage3_dataset_summary.json,8247,True
summaries,/kaggle/working/RoboTrace/results/summaries/stage4_visual_summary.json,/kaggle/working/RoboTrace/hf_release/artifacts/summaries/stage4_visual_summary.json,artifacts/summaries/stage4_visual_summary.json,5845,True
summaries,/kaggle/working/RoboTrace/results/summaries/stage4_visual_summary.csv,/kaggle/working/RoboTrace/hf_release/artifacts/summaries/stage4_visual_summary.csv,artifacts/summaries/stage4_visual_summary.csv,2061,True
summaries,/kaggle/working/RoboTrace/results/summaries/stage5_instruction_summary.json,/kaggle/working/RoboTrace/hf_release/artifacts/summaries/stage5_instruction_summary.json,artifacts/summaries/stage5_instruction_summary.json,1178,True
summaries,/kaggle/working/RoboTrace/results/summaries/stage5_instruction_summary.csv,/kaggle/working/RoboTrace/hf_release/artifacts/summaries/stage5_instruction_summary.csv,artifacts/summaries/stage5_instruction_summary.csv,321,True
summaries,/kaggle/working/RoboTrace/results/summaries/async_dataset_summary.json,/kaggle/working/RoboTrace/hf_release/artifacts/summaries/async_dataset_summary.json,artifacts/summaries/async_dataset_summary.json,13355,True
summaries,/kaggle/working/RoboTrace/results/summaries/async_summary.csv,/kaggle/working/RoboTrace/hf_release/artifacts/summaries/async_summary.csv,artifacts/summaries/async_summary.csv,7697,True
summaries,/kaggle/working/RoboTrace/results/summaries/stage7_policy_eval_summary.json,/kaggle/working/RoboTrace/hf_release/artifacts/summaries/stage7_policy_eval_summary.json,artifacts/summaries/stage7_policy_eval_summary.json,5920,True
summaries,/kaggle/working/RoboTrace/results/summaries/stage7_baseline_summary.csv,/kaggle/working/RoboTrace/hf_release/artifacts/summaries/stage7_baseline_summary.csv,artifacts/summaries/stage7_baseline_summary.csv,1715,True
figures,/kaggle/working/RoboTrace/results/figures/stage3_action_trace_first_episode.png,/kaggle/working/RoboTrace/hf_release/artifacts/figures/stage3_action_trace_first_episode.png,artifacts/figures/stage3_action_trace_first_episode.png,89531,True
figures,/kaggle/working/RoboTrace/results/figures/stage3_l2_step_delta.png,/kaggle/working/RoboTrace/hf_release/artifacts/figures/stage3_l2_step_delta.png,artifacts/figures/stage3_l2_step_delta.png,175924,True
figures,/kaggle/working/RoboTrace/results/figures/stage3_action_magnitude_hist.png,/kaggle/working/RoboTrace/hf_release/artifacts/figures/stage3_action_magnitude_hist.png,artifacts/figures/stage3_action_magnitude_hist.png,26918,True
figures,/kaggle/working/RoboTrace/results/figures/stage4_visual_preview_grid.png,/kaggle/working/RoboTrace/hf_release/artifacts/figures/stage4_visual_preview_grid.png,artifacts/figures/stage4_visual_preview_grid.png,78732,True
figures,/kaggle/working/RoboTrace/results/figures/stage4_visual_severity_bar.png,/kaggle/working/RoboTrace/hf_release/artifacts/figures/stage4_visual_severity_bar.png,artifacts/figures/stage4_visual_severity_bar.png,67464,True
figures,/kaggle/working/RoboTrace/results/figures/stage4_visual_severity_heatmap.png,/kaggle/working/RoboTrace/hf_release/artifacts/figures/stage4_visual_severity_heatmap.png,artifacts/figures/stage4_visual_severity_heatmap.png,93889,True
figures,/kaggle/working/RoboTrace/results/figures/stage5_instruction_perturbation_counts.png,/kaggle/working/RoboTrace/hf_release/artifacts/figures/stage5_instruction_perturbation_counts.png,artifacts/figures/stage5_instruction_perturbation_counts.png,49974,True
figures,/kaggle/working/RoboTrace/results/figures/stage5_instruction_length_shift.png,/kaggle/working/RoboTrace/hf_release/artifacts/figures/stage5_instruction_length_shift.png,artifacts/figures/stage5_instruction_length_shift.png,54510,True
figures,/kaggle/working/RoboTrace/results/figures/stage6_async_drift_by_mode.png,/kaggle/working/RoboTrace/hf_release/artifacts/figures/stage6_async_drift_by_mode.png,artifacts/figures/stage6_async_drift_by_mode.png,82535,True
figures,/kaggle/working/RoboTrace/results/figures/stage6_latency_quality_tradeoff.png,/kaggle/working/RoboTrace/hf_release/artifacts/figures/stage6_latency_quality_tradeoff.png,artifacts/figures/stage6_latency_quality_tradeoff.png,68864,True
figures,/kaggle/working/RoboTrace/results/figures/stage6_trace_overlay_first_episode.png,/kaggle/working/RoboTrace/hf_release/artifacts/figures/stage6_trace_overlay_first_episode.png,artifacts/figures/stage6_trace_overlay_first_episode.png,151089,True
figures,/kaggle/working/RoboTrace/results/figures/stage6_async_metric_heatmap.png,/kaggle/working/RoboTrace/hf_release/artifacts/figures/stage6_async_metric_heatmap.png,artifacts/figures/stage6_async_metric_heatmap.png,113837,True
figures,/kaggle/working/RoboTrace/results/figures/stage6_recovery_delay_proxy.png,/kaggle/working/RoboTrace/hf_release/artifacts/figures/stage6_recovery_delay_proxy.png,artifacts/figures/stage6_recovery_delay_proxy.png,85327,True
figures,/kaggle/working/RoboTrace/results/figures/stage7_baseline_mean_drift.png,/kaggle/working/RoboTrace/hf_release/artifacts/figures/stage7_baseline_mean_drift.png,artifacts/figures/stage7_baseline_mean_drift.png,70520,True
figures,/kaggle/working/RoboTrace/results/figures/stage7_baseline_quality_score.png,/kaggle/working/RoboTrace/hf_release/artifacts/figures/stage7_baseline_quality_score.png,artifacts/figures/stage7_baseline_quality_score.png,72246,True
figures,/kaggle/working/RoboTrace/results/figures/stage7_baseline_trace_overlay.png,/kaggle/working/RoboTrace/hf_release/artifacts/figures/stage7_baseline_trace_overlay.png,artifacts/figures/stage7_baseline_trace_overlay.png,133867,True
figures,/kaggle/working/RoboTrace/results/figures/stage7_baseline_metric_heatmap.png,/kaggle/working/RoboTrace/hf_release/artifacts/figures/stage7_baseline_metric_heatmap.png,artifacts/figures/stage7_baseline_metric_heatmap.png,105945,True
root,/kaggle/working/RoboTrace/reports/robotrace_public_summary.md,/kaggle/working/RoboTrace/hf_release/README_RELEASE_PREVIEW.md,README_RELEASE_PREVIEW.md,774,True
dataset_card,generated,/kaggle/working/RoboTrace/hf_release/dataset_card/README.md,dataset_card/README.md,2147,True
space_app,generated,/kaggle/working/RoboTrace/hf_release/space_app/README.md,space_app/README.md,375,True
space_app,generated,/kaggle/working/RoboTrace/hf_release/space_app/requirements.txt,space_app/requirements.txt,25,True
space_app,generated,/kaggle/working/RoboTrace/hf_release/space_app/app.py,space_app/app.py,3214,True
space_app_artifacts,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/figures/stage3_action_magnitude_hist.png,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/figures/stage3_action_magnitude_hist.png,space_app/artifacts/figures/stage3_action_magnitude_hist.png,26918,True
space_app_artifacts,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/figures/stage3_action_trace_first_episode.png,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/figures/stage3_action_trace_first_episode.png,space_app/artifacts/figures/stage3_action_trace_first_episode.png,89531,True
space_app_artifacts,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/figures/stage3_l2_step_delta.png,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/figures/stage3_l2_step_delta.png,space_app/artifacts/figures/stage3_l2_step_delta.png,175924,True
space_app_artifacts,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/figures/stage4_visual_preview_grid.png,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/figures/stage4_visual_preview_grid.png,space_app/artifacts/figures/stage4_visual_preview_grid.png,78732,True
space_app_artifacts,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/figures/stage4_visual_severity_bar.png,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/figures/stage4_visual_severity_bar.png,space_app/artifacts/figures/stage4_visual_severity_bar.png,67464,True
space_app_artifacts,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/figures/stage4_visual_severity_heatmap.png,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/figures/stage4_visual_severity_heatmap.png,space_app/artifacts/figures/stage4_visual_severity_heatmap.png,93889,True
space_app_artifacts,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/figures/stage5_instruction_length_shift.png,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/figures/stage5_instruction_length_shift.png,space_app/artifacts/figures/stage5_instruction_length_shift.png,54510,True
space_app_artifacts,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/figures/stage5_instruction_perturbation_counts.png,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/figures/stage5_instruction_perturbation_counts.png,space_app/artifacts/figures/stage5_instruction_perturbation_counts.png,49974,True
space_app_artifacts,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/figures/stage6_async_drift_by_mode.png,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/figures/stage6_async_drift_by_mode.png,space_app/artifacts/figures/stage6_async_drift_by_mode.png,82535,True
space_app_artifacts,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/figures/stage6_async_metric_heatmap.png,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/figures/stage6_async_metric_heatmap.png,space_app/artifacts/figures/stage6_async_metric_heatmap.png,113837,True
space_app_artifacts,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/figures/stage6_latency_quality_tradeoff.png,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/figures/stage6_latency_quality_tradeoff.png,space_app/artifacts/figures/stage6_latency_quality_tradeoff.png,68864,True
space_app_artifacts,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/figures/stage6_recovery_delay_proxy.png,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/figures/stage6_recovery_delay_proxy.png,space_app/artifacts/figures/stage6_recovery_delay_proxy.png,85327,True
space_app_artifacts,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/figures/stage6_trace_overlay_first_episode.png,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/figures/stage6_trace_overlay_first_episode.png,space_app/artifacts/figures/stage6_trace_overlay_first_episode.png,151089,True
space_app_artifacts,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/figures/stage7_baseline_mean_drift.png,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/figures/stage7_baseline_mean_drift.png,space_app/artifacts/figures/stage7_baseline_mean_drift.png,70520,True
space_app_artifacts,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/figures/stage7_baseline_metric_heatmap.png,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/figures/stage7_baseline_metric_heatmap.png,space_app/artifacts/figures/stage7_baseline_metric_heatmap.png,105945,True
space_app_artifacts,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/figures/stage7_baseline_quality_score.png,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/figures/stage7_baseline_quality_score.png,space_app/artifacts/figures/stage7_baseline_quality_score.png,72246,True
space_app_artifacts,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/figures/stage7_baseline_trace_overlay.png,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/figures/stage7_baseline_trace_overlay.png,space_app/artifacts/figures/stage7_baseline_trace_overlay.png,133867,True
space_app_artifacts,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/reports/failure_taxonomy.md,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/reports/failure_taxonomy.md,space_app/artifacts/reports/failure_taxonomy.md,1056,True
space_app_artifacts,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/reports/limitations.md,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/reports/limitations.md,space_app/artifacts/reports/limitations.md,1290,True
space_app_artifacts,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/reports/reproducibility.md,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/reports/reproducibility.md,space_app/artifacts/reports/reproducibility.md,1009,True
space_app_artifacts,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/reports/robotrace_public_summary.md,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/reports/robotrace_public_summary.md,space_app/artifacts/reports/robotrace_public_summary.md,774,True
space_app_artifacts,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/reports/robotrace_report.html,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/reports/robotrace_report.html,space_app/artifacts/reports/robotrace_report.html,38845,True
space_app_artifacts,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/reports/robotrace_report.md,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/reports/robotrace_report.md,space_app/artifacts/reports/robotrace_report.md,35710,True
space_app_artifacts,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/summaries/async_dataset_summary.json,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/summaries/async_dataset_summary.json,space_app/artifacts/summaries/async_dataset_summary.json,13355,True
space_app_artifacts,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/summaries/async_summary.csv,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/summaries/async_summary.csv,space_app/artifacts/summaries/async_summary.csv,7697,True
space_app_artifacts,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/summaries/robotrace_evidence_index.csv,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/summaries/robotrace_evidence_index.csv,space_app/artifacts/summaries/robotrace_evidence_index.csv,7808,True
space_app_artifacts,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/summaries/robotrace_evidence_index.json,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/summaries/robotrace_evidence_index.json,space_app/artifacts/summaries/robotrace_evidence_index.json,13594,True
space_app_artifacts,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/summaries/robotrace_final_metrics.csv,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/summaries/robotrace_final_metrics.csv,space_app/artifacts/summaries/robotrace_final_metrics.csv,3153,True
space_app_artifacts,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/summaries/robotrace_final_summary.json,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/summaries/robotrace_final_summary.json,space_app/artifacts/summaries/robotrace_final_summary.json,2892,True
space_app_artifacts,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/summaries/robotrace_missing_evidence_manifest.json,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/summaries/robotrace_missing_evidence_manifest.json,space_app/artifacts/summaries/robotrace_missing_evidence_manifest.json,545,True
space_app_artifacts,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/summaries/stage3_dataset_summary.json,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/summaries/stage3_dataset_summary.json,space_app/artifacts/summaries/stage3_dataset_summary.json,8247,True
space_app_artifacts,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/summaries/stage4_visual_summary.csv,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/summaries/stage4_visual_summary.csv,space_app/artifacts/summaries/stage4_visual_summary.csv,2061,True
space_app_artifacts,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/summaries/stage4_visual_summary.json,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/summaries/stage4_visual_summary.json,space_app/artifacts/summaries/stage4_visual_summary.json,5845,True
space_app_artifacts,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/summaries/stage5_instruction_summary.csv,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/summaries/stage5_instruction_summary.csv,space_app/artifacts/summaries/stage5_instruction_summary.csv,321,True
space_app_artifacts,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/summaries/stage5_instruction_summary.json,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/summaries/stage5_instruction_summary.json,space_app/artifacts/summaries/stage5_instruction_summary.json,1178,True
space_app_artifacts,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/summaries/stage7_baseline_summary.csv,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/summaries/stage7_baseline_summary.csv,space_app/artifacts/summaries/stage7_baseline_summary.csv,1715,True
space_app_artifacts,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/summaries/stage7_policy_eval_summary.json,/kaggle/working/RoboTrace/hf_release/space_app/artifacts/summaries/stage7_policy_eval_summary.json,space_app/artifacts/summaries/stage7_policy_eval_summary.json,5920,True
root,generated,/kaggle/working/RoboTrace/hf_release/release_notes.md,release_notes.md,861,True
root,generated,/kaggle/working/RoboTrace/hf_release/publish_instructions.md,publish_instructions.md,1714,True
manifest,generated,/kaggle/working/RoboTrace/hf_release/manifest/release_manifest.json,manifest/release_manifest.json,32464,True
manifest,generated,/kaggle/working/RoboTrace/hf_release/manifest/release_manifest.csv,manifest/release_manifest.csv,19590,True
